"quest_id","rule_scope","rule_id","expression","notes"
"Q11_BREAKWATER_COUNCIL","scoring","faction_fit","faction_fit = ((ending_vector=='conquest' && act3_faction=='war_captains') ? 9 : (ending_vector=='accord' && act3_faction=='law_thing') ? 9 : (ending_vector=='ashen' && act3_faction=='ash_circle') ? 9 : (ending_vector=='exile' && act3_faction=='ash_circle') ? 5 : -4)",""
"Q11_BREAKWATER_COUNCIL","scoring","q11_score","q11_score = clamp(30 + 0.20*O + 0.18*W + 0.16*M + 0.10*P + 0.10*V + faction_fit - (mutiny?8:0), 0, 100)",""
"Q11_BREAKWATER_COUNCIL","scoring","final_score","q11_score",""
"Q12_RIFT_AT_BJORVIK","scoring","rift_fit","rift_fit = ((ending_vector=='accord' && rift_response=='open_negotiations') ? 8 : (ending_vector=='conquest' && rift_response=='seal_narrows') ? 8 : (ending_vector=='ashen' && rift_response=='shadow_emissaries') ? 7 : (ending_vector=='exile' && rift_response=='shadow_emissaries') ? 8 : -3)",""
"Q12_RIFT_AT_BJORVIK","scoring","q12_score","q12_score = clamp(29 + 0.20*O + 0.17*M + 0.15*V + 0.10*S + 0.10*W + rift_fit - (sickness?6:0), 0, 100)",""
"Q12_RIFT_AT_BJORVIK","scoring","final_score","q12_score",""
"Q13_HARBOR_OF_BONES","scoring","pact_fit","pact_fit = ((ending_vector=='conquest' && northwind_pact=='pirate_only') ? 8 : (ending_vector=='accord' && northwind_pact=='dual_signature') ? 8 : (ending_vector=='ashen' && northwind_pact=='ash_witness') ? 8 : (ending_vector=='exile' && northwind_pact=='dual_signature') ? 5 : -3)",""
"Q13_HARBOR_OF_BONES","scoring","q13_score","q13_score = clamp(31 + 0.18*O + 0.18*W + 0.15*M + 0.12*P + 0.12*V + 0.08*S + pact_fit - (Wounds*4), 0, 100)",""
"Q13_HARBOR_OF_BONES","scoring","final_score","q13_score",""
"Q14_TEMPEST_PARLIAMENT","scoring","parliament_term","parliament_term = (choice('Q14_C1')=='Q14_C1_A' ? -3 : choice('Q14_C1')=='Q14_C1_B' ? 6 : 3)",""
"Q14_TEMPEST_PARLIAMENT","scoring","q14_score","q14_score = clamp(27 + 0.22*O + 0.16*M + 0.14*W + 0.10*P + 0.10*V + 0.08*S + parliament_term - (famine?6:0), 0, 100)",""
"Q14_TEMPEST_PARLIAMENT","scoring","final_score","q14_score",""
"Q15_CROWN_OF_THIN_ICE","scoring","settlement_fit","settlement_fit = ((ending_vector=='conquest' && choice('Q15_C1')=='Q15_C1_A') ? 10 : (ending_vector=='accord' && choice('Q15_C1')=='Q15_C1_B') ? 10 : (ending_vector=='ashen' && choice('Q15_C1')=='Q15_C1_C') ? 10 : (ending_vector=='exile' && choice('Q15_C1')=='Q15_C1_B') ? 5 : -4)",""
"Q15_CROWN_OF_THIN_ICE","scoring","seal_term","seal_term = (choice('Q15_C3')=='Q15_C3_A' ? 2 : choice('Q15_C3')=='Q15_C3_B' ? 6 : 4)",""
"Q15_CROWN_OF_THIN_ICE","scoring","q15_score","q15_score = clamp(35 + 0.19*O + 0.17*M + 0.16*W + 0.14*P + 0.12*V + 0.10*S + settlement_fit + seal_term - (oath_shattered?10:0), 0, 100)",""
"Q15_CROWN_OF_THIN_ICE","post","act4_start_warlord","if (q15_score>=78 && ending_vector=='conquest') then act4_start_state='IRON_HEGEMONY'",""
"Q15_CROWN_OF_THIN_ICE","post","act4_start_treaty","if (q15_score>=78 && ending_vector=='accord') then act4_start_state='CHARTER_COMMONWEALTH'",""
"Q15_CROWN_OF_THIN_ICE","post","act4_start_ashen","if (q15_score>=78 && ending_vector=='ashen') then act4_start_state='EMBER_ORACLE'",""
"Q15_CROWN_OF_THIN_ICE","post","act4_start_ghost","if (q15_score>=70 && ending_vector=='exile') then act4_start_state='DRIFT_REALM'",""
"Q15_CROWN_OF_THIN_ICE","post","act4_start_fallback","if (act4_start_state is null) then act4_start_state='BROKEN_THING'",""
"Q15_CROWN_OF_THIN_ICE","scoring","final_score","q15_score",""
